,0
0,5.5
1,18.0
2,18.5
3,19.1
4,20.5
5,21.9
6,24.2
7,25.9
8,27.6
9,29.3
10,31.1
11,33.2
12,35.5
13,37.9
14,40.5
15,42.9
16,45.5
17,48.1
18,50.7
19,53.4
20,56.0
21,58.6
22,61.3
23,63.9
24,66.5
25,69.1
26,71.8
27,74.4
28,77.0
29,79.6
30,82.3
31,84.9
32,87.5
33,90.1
34,92.8
35,95.4
36,98.0
37,100.6
38,103.2
39,105.8
40,108.4
41,111.1
42,113.7
43,116.3
44,118.9
45,121.5
46,124.1
47,126.7
48,129.3
49,131.9
50,137.0
51,139.6
52,142.2
53,144.8
54,147.4
55,150.0
